booking_id,customer_id,driver_id,city,booking_date,day_of_week,weekend_flag,category,distance_km,trip_type,airport_flag,base_fare,per_km_rate,surge_multiplier,surge_reason,total_trip_cost,driver_earning,company_revenue,ride_status,cancellation_reason,payment_type,customer_rating,weather_condition,traffic_level,holiday_flag,booking_time,waiting_time,trip_duration_min
B383,C218,D272,Mumbai,2025-02-11,Tuesday,0,Prime,22.40,Long,0,60.00,15.00,1.33,Traffic,526.68,395.01,131.67,Cancelled_Driver,Other,Wallet,0.0,Storm,High,0,13:34:44,00:02:00,01:11:19
B1451,C68,D4,Hyderabad,2025-01-01,Wednesday,0,SUV,4.70,Medium,0,100.00,20.00,1.00,None,194.00,145.50,48.50,Completed,"Not Cancelled",Wallet,3.8,Clear,Medium,0,19:24:09,00:03:00,00:13:07
B781,C286,D58,Delhi,2025-03-07,Friday,0,Mini,14.58,Long,1,40.00,10.00,1.58,Rain,293.56,220.17,73.39,Completed,"Not Cancelled",UPI,3.2,Rain,Medium,0,11:15:29,00:11:00,00:58:11
B1079,C156,D274,Bangalore,2025-01-19,Sunday,1,Mini,24.42,Long,1,40.00,10.00,1.54,"Peak Hour",437.67,328.25,109.42,Cancelled_Driver,"No Show",UPI,0.0,Storm,Medium,0,03:49:07,00:06:00,01:35:51
B583,C112,D5,Delhi,2025-02-20,Thursday,0,Mini,4.97,Medium,1,40.00,10.00,1.00,None,89.70,67.28,22.43,Completed,"Not Cancelled",Wallet,3.3,Clear,Medium,0,15:05:00,00:02:00,00:17:24
B1385,C303,D275,Bangalore,2025-02-28,Friday,0,Mini,13.81,Long,1,40.00,10.00,1.00,None,178.10,133.57,44.52,Completed,"Not Cancelled",Cash,4.4,Clear,Low,0,23:21:25,00:05:00,00:50:20
B1302,C71,D137,Hyderabad,2025-02-22,Saturday,1,SUV,8.72,Medium,1,100.00,20.00,1.58,"Peak Hour",433.55,325.16,108.39,Completed,"Not Cancelled",UPI,3.1,Clear,High,0,00:54:53,00:03:00,00:33:53
B213,C84,D133,Hyderabad,2025-03-01,Saturday,1,SUV,16.25,Long,0,100.00,20.00,1.58,"Peak Hour",671.50,503.62,167.88,Completed,"Not Cancelled",Card,3.7,Clear,Medium,0,16:38:35,00:10:00,00:36:32
B1104,C484,D100,Bangalore,2025-03-28,Friday,0,Auto,8.33,Medium,1,30.00,8.00,1.00,None,96.64,72.48,24.16,Cancelled_Customer,"Driver Late",Wallet,0.0,Clear,Low,0,13:19:46,00:04:00,00:22:47
B889,C356,D157,Bangalore,2025-02-22,Saturday,1,Mini,6.42,Medium,0,40.00,10.00,1.86,"Peak Hour",193.81,145.36,48.45,Completed,"Not Cancelled",Wallet,4.8,Rain,High,0,22:07:22,00:04:00,00:21:07
